State,County,Population,% rural,FIPS,% Children in Poverty,% Unemployed,Income Ratio,% Children in Single-Parent Households,Violent Crime Rate,Injury Death Rate,Years of Potential Life Lost Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,% Completed High School,% Some College
Texas,Matagorda,36725,36.417633916,48321,24.0,10.50880271,5.4531997774,31.980281099,346.94349583,86.437941364,9490.0,52241.0,69.45439515,27.390583539,70.489208633,82.076607047,55.308756832
Texas,Maverick,58378,9.2557779498,48323,27.9,14.9955091,6.8738923471,31.341389395,179.26761348,39.1099401,8337.0,41324.0,79.172413793,25.950910865,66.366312248,61.467085776,52.877449627
Texas,Medina,52358,61.555014563,48325,17.2,6.29514002,4.8316306637,21.66268351,210.66003282,59.399241578,7623.0,62600.0,54.668809141,21.008417845,79.984979347,84.368314626,56.358834695
Texas,Midland,177863,12.291776258,48329,13.1,8.06620723,4.655571552,22.010752908,313.91817654,60.124905397,7678.0,92117.0,43.829389387,34.217238064,66.721342611,84.115391808,58.775819384
Texas,Milam,24708,56.182089914,48331,24.0,7.13846154,4.7828323345,37.512690355,230.36735366,93.108374938,8725.0,49961.0,68.870826011,13.289946876,73.637515843,83.570744554,46.942724458
Texas,Mills,4840,100.0,48333,22.8,4.12916887,4.8918918919,18.925518926,30.590394616,106.28730276,8829.0,49089.0,55.86797066,1.8920118582,88.184931507,82.827167311,41.534391534
Texas,Mitchell,8202,36.74359247,48335,21.9,7.93784124,4.1918626828,28.764705882,173.52638143,85.551330798,8381.0,46156.0,54.197349043,29.487410575,81.190574618,84.777204054,36.333173767
Texas,Montague,19962,58.943151275,48337,18.2,6.62922586,4.334992163,27.546401086,166.30316249,110.85234265,11508.0,56012.0,54.840596666,34.059441894,76.559166771,86.677702605,56.527909177
Texas,Montgomery,626351,22.725597153,48339,10.9,7.54156228,4.5339271389,16.245433871,175.15762311,61.013536129,6146.0,85348.0,45.358124246,31.431835907,71.469820483,89.189846938,67.411123284
Texas,Moore,20654,16.814280497,48341,14.8,3.762526,3.6819367275,21.315360687,208.61167757,75.49209663,9213.0,53341.0,63.243132431,11.565387911,65.820693798,65.369430344,43.500363108
Texas,Morris,12393,78.421215401,48343,25.1,11.37074901,4.6142328215,27.830354013,320.06954598,75.587005468,11038.0,45122.0,78.012684989,19.300326608,73.288201161,91.054911603,50.260999254
Texas,Nacogdoches,64753,46.460231852,48347,23.5,6.58162718,5.2568729011,29.39139699,290.91848206,74.911176748,9067.0,49375.0,66.7602318,37.569487324,57.702503682,83.699692046,56.335543954
Texas,Navarro,50694,52.657379281,48349,21.9,6.20348462,4.7296949059,26.969673586,353.95965713,80.372865474,9768.0,50778.0,71.84841454,20.603555783,69.627048946,79.990049442,56.123156982
Texas,Newton,13414,100.0,48351,27.9,11.02097349,5.7977744623,29.198682766,63.514467184,104.78824043,11289.0,45769.0,71.358695652,31.998137073,82.513661202,81.304038246,42.755727654
Texas,Nolan,14835,32.656414301,48353,24.4,5.27198993,4.8640838699,28.237736828,393.81563594,78.3117076,10499.0,41720.0,62.350722816,40.771448758,67.947788252,82.620993086,53.098676294
Texas,Nueces,363148,6.447241956,48355,25.9,8.96046852,4.9265886068,33.563125169,684.93721178,71.094052958,8683.0,55727.0,64.534606205,23.207388394,58.667095845,83.80904951,57.570965126
Texas,Ochiltree,9598,13.90981121,48357,14.2,5.79710145,3.8669608596,20.38647343,269.61568341,72.347266881,7566.0,71477.0,59.240849526,5.8924567253,73.223237983,74.303030303,39.310611929
Texas,Orange,82878,35.171132862,48361,21.1,10.50878508,4.6060995427,25.587091197,324.28630188,92.888769271,10467.0,61323.0,58.892993799,55.809541119,74.276211593,88.39042134,56.82432753
Texas,Palo Pinto,29320,50.215218242,48363,20.9,6.99479913,4.6277200462,21.030619866,191.69443549,92.356621553,9740.0,59450.0,67.691631891,42.305935796,74.540352235,87.699640014,54.162826421
Texas,Panola,23187,72.718103883,48365,19.5,8.39249762,4.9569257574,21.320649133,282.66923512,93.752150279,10506.0,51936.0,53.31302361,18.063844337,77.210805819,84.041944709,59.223477944
Texas,Parker,148198,56.084565584,48367,9.8,5.88779149,4.2979830656,13.611737488,130.95367213,70.773350512,6457.0,88617.0,33.992865439,24.293475024,80.520415285,89.010718378,63.241106719
Texas,Parmer,9522,60.015580874,48369,17.7,2.58392675,4.0989891825,10.264780559,81.728559023,76.117591393,9045.0,61989.0,72.020725389,27.689406979,65.483971366,74.147068566,40.02458009
Texas,Pecos,15718,39.77558522,48371,19.7,8.13257634,4.4778295113,22.388444674,348.41037765,79.930980233,9238.0,52792.0,64.914543696,41.903593487,74.239934265,72.484112681,36.25159371
Texas,Polk,52995,77.638561645,48373,22.9,8.72691616,4.5806138036,35.568080688,286.01422573,115.72555149,10901.0,47535.0,61.64879745,35.248023112,77.180273057,81.898406045,41.2844813
Texas,Potter,116004,8.9962254177,48375,29.2,5.46814404,4.6165405577,32.155137697,639.79945851,101.28592748,11581.0,45903.0,72.695182724,39.724868748,54.682985645,77.194290584,43.686480292
Texas,Presidio,6508,40.470708621,48377,32.4,14.73228103,5.5746849021,36.398891967,87.171291588,64.188597771,5713.0,39967.0,92.133333333,26.465601837,53.953488372,48.519774011,51.03645461
Texas,Rains,12552,93.228880337,48379,20.3,4.69553675,3.9193686339,20.303687636,111.83680773,92.867448301,8624.0,59195.0,62.651997684,33.282850307,78.361490396,83.039696699,45.493900039
Texas,Randall,139899,14.375647132,48381,11.6,4.48466427,4.0818587676,23.276979083,547.33108925,68.593150085,6982.0,71041.0,42.455462546,24.796018185,69.617903058,92.995870758,70.967227494
Texas,Red River,11995,75.730948678,48387,25.6,6.35692068,5.713129373,27.188940092,296.78350846,113.80692408,14141.0,46727.0,69.517439083,45.175581045,78.047832005,88.961906883,57.858508604
Texas,Reeves,15949,14.496118407,48389,20.5,7.12350418,5.2084742289,32.958477509,407.10712437,77.099020842,7581.0,64863.0,67.346938776,17.466002997,79.586426299,69.358738756,36.148445336
Texas,Refugio,6877,60.679940404,48391,23.7,8.17385663,4.4847076845,31.921424187,335.66241951,81.916275917,8788.0,48433.0,61.503067485,30.548544137,72.837100546,82.606899401,45.670852611
Texas,Robertson,17155,73.853928528,48395,23.2,6.39891082,4.8859241706,35.307179867,391.47193447,85.413083412,10029.0,55218.0,62.296591956,38.662538863,73.49236924,84.672784973,47.721623861
Texas,Rockwall,109888,16.035845131,48397,6.4,6.01402018,3.3282216448,14.123031856,97.401159959,41.483448104,4833.0,106225.0,27.465317774,34.147068526,83.390892997,93.018908074,78.983226571
Texas,Runnels,10401,40.758023045,48399,21.4,4.92382424,4.9323530863,24.440829606,172.53774263,89.124832891,8574.0,50972.0,56.805019305,13.939734232,72.937548188,81.061468412,49.020480855
Texas,Rusk,54324,65.872867054,48401,18.1,7.31685271,4.0807150384,23.267038362,379.61369287,83.72248786,8956.0,56954.0,67.774842882,18.454366734,79.186973859,82.620047373,52.158075601
Texas,Sabine,10507,100.0,48403,25.4,10.78256436,4.6992176815,21.664943123,332.68205101,108.77447426,12169.0,51046.0,68.143459916,19.973811375,86.361626879,85.694514343,49.067661161
Texas,San Augustine,8248,100.0,48405,29.7,9.60264901,5.2037144515,23.2,354.85747528,99.297650763,10286.0,45781.0,83.747779751,49.167720067,73.033405172,81.996753247,41.118012422
Texas,San Jacinto,29301,100.0,48407,26.1,8.06866953,4.8325079006,18.85087153,206.64935445,89.600716806,10278.0,51575.0,66.806605094,18.554253237,79.522823622,85.493183252,40.254372019
Texas,San Patricio,67069,19.650021604,48409,21.6,10.2597447,5.1922698398,35.622532392,361.34566014,66.15766982,9034.0,56944.0,66.56684492,30.905616346,67.829391171,81.392970058,49.741021117
Texas,San Saba,6039,49.355733159,48411,26.1,5.19835841,3.9992824683,15.972222222,109.56595027,69.881201957,8939.0,48349.0,64.129400571,29.324583724,70.852858482,80.800381134,44.305555556
Texas,Scurry,16662,31.700254122,48415,17.6,8.19068949,4.104373065,16.295938104,298.14299506,85.09230151,8692.0,57158.0,61.6860648,34.885408362,78.479149632,80.217623974,50.317297851
Texas,Shelby,24915,79.432568375,48419,24.4,6.84761398,5.2919301321,29.479418886,289.37072057,93.923393239,10408.0,41194.0,74.707085736,20.866092772,75.005270926,77.988568649,44.837861525
Texas,Smith,235806,31.60780873,48423,18.2,6.76499853,4.6789998379,22.968883509,335.00913661,69.369983374,7923.0,60735.0,64.145861948,35.893761687,67.21587477,87.085875983,65.597672599
Texas,Somervell,9139,100.0,48425,12.8,6.46950092,4.9284418464,8.9974293059,108.44129901,100.2160212,7504.0,67984.0,44.475138122,49.251935433,83.783783784,91.845835324,53.975903614
Texas,Starr,64266,23.705878494,48427,35.3,17.32208671,5.7412392286,40.01900689,262.69909515,35.403726708,8272.0,35716.0,90.226120636,18.912842829,74.792703151,57.611864977,44.434760956
Texas,Stephens,9334,39.366562825,48429,23.5,6.09452736,5.3107485139,38.654666035,188.08103606,103.42789598,9205.0,48911.0,61.126373626,36.229682616,74.149061033,79.785894207,43.175965665
Texas,Swisher,7340,37.573211103,48437,27.2,5.211212,4.6733362882,22.989130435,518.74712719,104.8951049,11836.0,39897.0,72.175597159,32.258611636,72.373989996,75.239844866,35.288118307
Texas,Tarrant,2123347,1.2882013273,48439,15.4,7.34682155,4.2010419282,26.0023466,402.71780245,52.599945676,6684.0,72064.0,58.664603241,34.313489614,60.287274066,86.498118233,64.15573765
Texas,Taylor,139200,16.033488966,48441,16.9,5.45443551,4.4484711677,28.304563727,426.20264466,77.214013689,9673.0,52974.0,55.241641706,27.432481614,58.355821891,89.496177406,60.977913599
Texas,Terry,12183,24.669986562,48445,27.4,7.31404959,4.5572482283,25.886836705,254.18426404,83.438969208,11178.0,47292.0,74.26567295,36.672012757,63.228480858,69.72019931,37.781155015
